date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:53	16449/16449	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f9c-4041%22	https://arch.dymix.us/index.html	E:/Self%20projects/kiran/arch.dymix.us/index.html	(from )
23:11:53	50/50	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Dec%202024%2017:41:53%20GMT	https://arch.dymix.us/robots.txt		(from )
23:11:54	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%2263306034-2606e%22	https://arch.dymix.us/libs/bootstrap-4.3.1/css/bootstrap.min.css	E:/Self%20projects/kiran/arch.dymix.us/libs/bootstrap-4.3.1/css/bootstrap.min.css	(from https://arch.dymix.us/index.html)
23:11:54	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2263305fa9-6f0%22	https://arch.dymix.us/libs/slick/slick.css	E:/Self%20projects/kiran/arch.dymix.us/libs/slick/slick.css	(from https://arch.dymix.us/index.html)
23:11:54	3224/3224	---MCZ	200	added ('OK')	text/css	etag:W/%2263305fdb-c98%22	https://arch.dymix.us/libs/simpleLightbox/simplelightbox.min.css	E:/Self%20projects/kiran/arch.dymix.us/libs/simpleLightbox/simplelightbox.min.css	(from https://arch.dymix.us/index.html)
23:11:54	3211/3211	---MCZ	200	added ('OK')	text/css	etag:W/%2263305f71-c8b%22	https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans.css	E:/Self%20projects/kiran/arch.dymix.us/assets/fonts/NunitoSans/NunitoSans.css	(from https://arch.dymix.us/index.html)
23:11:54	7077/7077	---MCZ	200	added ('OK')	text/css	etag:W/%2263305f75-1ba5%22	https://arch.dymix.us/assets/fonts/icomoon/style.css	E:/Self%20projects/kiran/arch.dymix.us/assets/fonts/icomoon/style.css	(from https://arch.dymix.us/index.html)
23:11:55	26898/26898	---MCZ	200	added ('OK')	text/css	etag:W/%2263305f6d-6912%22	https://arch.dymix.us/assets/css/main.min.css	E:/Self%20projects/kiran/arch.dymix.us/assets/css/main.min.css	(from https://arch.dymix.us/index.html)
23:11:55	2948/2948	---M--	200	added ('OK')	image/png	etag:%2263305f78-b84%22	https://arch.dymix.us/favicon.png	E:/Self%20projects/kiran/arch.dymix.us/favicon.png	(from https://arch.dymix.us/index.html)
23:11:55	5215/5215	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263305f9b-145f%22	https://arch.dymix.us/images/logo.svg	E:/Self%20projects/kiran/arch.dymix.us/images/logo.svg	(from https://arch.dymix.us/index.html)
23:11:55	16449/16449	---MCZ	200	added ('OK')	text/html	etag:W/%224041-5e980deebbcc4%22	https://arch.dymix.us/	E:/Self%20projects/kiran/arch.dymix.us/index-2.html	(from https://arch.dymix.us/index.html)
23:11:56	13797/13797	---MCZ	200	added ('OK')	text/html	etag:W/%2263306049-35e5%22	https://arch.dymix.us/projects.html	E:/Self%20projects/kiran/arch.dymix.us/projects.html	(from https://arch.dymix.us/index.html)
23:11:56	19854/19854	---MCZ	200	added ('OK')	text/html	etag:W/%226330604a-4d8e%22	https://arch.dymix.us/what-we-do.html	E:/Self%20projects/kiran/arch.dymix.us/what-we-do.html	(from https://arch.dymix.us/index.html)
23:11:56	13311/13311	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f6d-33ff%22	https://arch.dymix.us/about.html	E:/Self%20projects/kiran/arch.dymix.us/about.html	(from https://arch.dymix.us/index.html)
23:11:56	12407/12407	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f78-3077%22	https://arch.dymix.us/events.html	E:/Self%20projects/kiran/arch.dymix.us/events.html	(from https://arch.dymix.us/index.html)
23:11:56	22471/22471	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f77-57c7%22	https://arch.dymix.us/career.html	E:/Self%20projects/kiran/arch.dymix.us/career.html	(from https://arch.dymix.us/index.html)
23:11:57	15542/15542	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f77-3cb6%22	https://arch.dymix.us/contact.html	E:/Self%20projects/kiran/arch.dymix.us/contact.html	(from https://arch.dymix.us/index.html)
23:11:58	712354/712354	---M--	200	added ('OK')	image/jpeg	etag:%2263305f7d-adea2%22	https://arch.dymix.us/images/hero.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/hero.jpg	(from https://arch.dymix.us/index.html)
23:11:58	513357/513357	---M--	200	added ('OK')	image/jpeg	etag:%2263305f80-7d54d%22	https://arch.dymix.us/images/home_8.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_8.jpg	(from https://arch.dymix.us/index.html)
23:11:59	255497/255497	---M--	200	added ('OK')	image/jpeg	etag:%2263305f88-3e609%22	https://arch.dymix.us/images/home_1.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_1.jpg	(from https://arch.dymix.us/index.html)
23:11:59	11341/11341	---MCZ	200	added ('OK')	text/html	etag:W/%2263306049-2c4d%22	https://arch.dymix.us/project-single.html	E:/Self%20projects/kiran/arch.dymix.us/project-single.html	(from https://arch.dymix.us/index.html)
23:12:00	188992/188992	---M--	200	added ('OK')	image/jpeg	etag:%2263305f87-2e240%22	https://arch.dymix.us/images/home_2.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_2.jpg	(from https://arch.dymix.us/index.html)
23:12:00	240270/240270	---M--	200	added ('OK')	image/jpeg	etag:%2263305f87-3aa8e%22	https://arch.dymix.us/images/home_3.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_3.jpg	(from https://arch.dymix.us/index.html)
23:12:00	569543/569543	---M--	200	added ('OK')	image/jpeg	etag:%2263305f95-8b0c7%22	https://arch.dymix.us/images/event_2.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/event_2.jpg	(from https://arch.dymix.us/index.html)
23:12:00	347735/347735	---M--	200	added ('OK')	image/jpeg	etag:%2263305f8d-54e57%22	https://arch.dymix.us/images/home_4.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_4.jpg	(from https://arch.dymix.us/index.html)
23:12:00	217006/217006	---M--	200	added ('OK')	image/jpeg	etag:%2263305f8b-34fae%22	https://arch.dymix.us/images/home_5.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_5.jpg	(from https://arch.dymix.us/index.html)
23:12:00	255869/255869	---M--	200	added ('OK')	image/jpeg	etag:%2263305f8f-3e77d%22	https://arch.dymix.us/images/home_6.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_6.jpg	(from https://arch.dymix.us/index.html)
23:12:01	277403/277403	---M--	200	added ('OK')	image/jpeg	etag:%2263305f8f-43b9b%22	https://arch.dymix.us/images/home_7.jpg	E:/Self%20projects/kiran/arch.dymix.us/images/home_7.jpg	(from https://arch.dymix.us/index.html)
23:12:01	11801/11801	---MCZ	200	added ('OK')	text/html	etag:W/%2263305f78-2e19%22	https://arch.dymix.us/event-single.html	E:/Self%20projects/kiran/arch.dymix.us/event-single.html	(from https://arch.dymix.us/index.html)
23:12:01	2734/2734	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263305f7e-aae%22	https://arch.dymix.us/images/logo-footer.svg	E:/Self%20projects/kiran/arch.dymix.us/images/logo-footer.svg	(from https://arch.dymix.us/index.html)
23:12:01	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305fdb-1538f%22	https://arch.dymix.us/libs/jquery/jquery-3.3.1.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/jquery/jquery-3.3.1.min.js	(from https://arch.dymix.us/index.html)
23:12:02	20969/20969	---MCZ	200	added ('OK')	application/javascript	etag:W/%226330603e-51e9%22	https://arch.dymix.us/libs/bootstrap-4.3.1/js/popper.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/bootstrap-4.3.1/js/popper.min.js	(from https://arch.dymix.us/index.html)
23:12:02	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%226330603d-e2d8%22	https://arch.dymix.us/libs/bootstrap-4.3.1/js/bootstrap.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/bootstrap-4.3.1/js/bootstrap.min.js	(from https://arch.dymix.us/index.html)
23:12:02	116228/116228	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263306048-1c604%22	https://arch.dymix.us/libs/greensock-js/TweenMax.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/greensock-js/TweenMax.min.js	(from https://arch.dymix.us/index.html)
23:12:02	16563/16563	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305f9d-40b3%22	https://arch.dymix.us/libs/scrollreveal/scrollreveal.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/scrollreveal/scrollreveal.min.js	(from https://arch.dymix.us/index.html)
23:12:03	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305faf-a76f%22	https://arch.dymix.us/libs/slick/slick.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/slick/slick.min.js	(from https://arch.dymix.us/index.html)
23:12:03	9356/9356	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305fda-248c%22	https://arch.dymix.us/libs/simpleLightbox/simple-lightbox.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/simpleLightbox/simple-lightbox.min.js	(from https://arch.dymix.us/index.html)
23:12:03	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305f9d-15da%22	https://arch.dymix.us/libs/isotope/imagesloaded.pkgd.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/isotope/imagesloaded.pkgd.min.js	(from https://arch.dymix.us/index.html)
23:12:03	35456/35456	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305f9f-8a80%22	https://arch.dymix.us/libs/isotope/isotope.min.js	E:/Self%20projects/kiran/arch.dymix.us/libs/isotope/isotope.min.js	(from https://arch.dymix.us/index.html)
23:12:04	9541/9541	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263305f6e-2545%22	https://arch.dymix.us/assets/js/common.min.js	E:/Self%20projects/kiran/arch.dymix.us/assets/js/common.min.js	(from https://arch.dymix.us/index.html)
23:12:04	91196/91196	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2263305f75-1643c%22	https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-ExtraLightItalic.ttf	E:/Self%20projects/kiran/arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-ExtraLightItalic.ttf	(from https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans.css)
23:12:05	91004/91004	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2263305f6e-1637c%22	https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-LightItalic.ttf	E:/Self%20projects/kiran/arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-LightItalic.ttf	(from https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans.css)
23:12:05	92428/92428	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2263305f71-1690c%22	https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-Italic.ttf	E:/Self%20projects/kiran/arch.dymix.us/assets/fonts/NunitoSans/NunitoSans-Italic.ttf	(from https://arch.dymix.us/assets/fonts/NunitoSans/NunitoSans.css)
